,id,original_title,original_language,release_date,popularity,vote_average,vote_count,media_type,adult
12240,638974,Murder Mystery 2,English,3/26/2023,235.901,6.8,187,0,0
12241,677179,Creed III,English,3/1/2023,1537.879,7.2,561,0,0
12242,726759,Tetris,English,3/15/2023,66.661,7.7,100,0,0
12243,76600,Avatar: The Way of Water,English,12/14/2022,10224.28,7.742,6335,0,0
12244,849869,길복순,Korean,2/17/2023,33.985,6.9,39,0,0
12245,603692,John Wick: Chapter 4,English,3/22/2023,2569.508,8.161,635,0,0
12246,493529,Dungeons & Dragons: Honor Among Thieves,English,3/23/2023,702.523,7.598,128,0,0
12247,932430,Prom Pact,English,3/30/2023,85.403,8,10,0,0
12248,95558,,English,,64.625,8,8,1,0
12249,816904,Momias,Spain,1/5/2023,1224.45,7.008,64,0,0
12250,514999,Murder Mystery,English,5/25/2019,197.421,6.252,3642,0,0
12251,1049638,Rye Lane,English,3/17/2023,30.374,7.778,18,0,0
12252,739405,Operation Fortune: Ruse de Guerre,English,1/4/2023,184.229,6.721,297,0,0
12253,158876,,Chinese,,58.304,8.4,9,1,0
12254,921355,Assassin,English,3/31/2023,80.805,4.8,11,0,0
12255,117465,,Japanese,,62.392,10,4,1,0
12256,933419,Champions,English,3/9/2023,104.315,6.512,43,0,0
12257,208891,,Japanese,,59.825,8.667,3,1,0
12258,878375,On a Wing and a Prayer,English,4/6/2023,53.714,8,4,0,0
12259,82856,,English,,1108.646,8.488,8697,1,0
12260,638974,Murder Mystery 2,English,3/26/2023,235.901,6.8,187,0,0
12261,677179,Creed III,English,3/1/2023,1537.879,7.2,561,0,0
12262,726759,Tetris,English,3/15/2023,66.661,7.7,100,0,0
12263,76600,Avatar: The Way of Water,English,12/14/2022,10224.28,7.742,6335,0,0
12264,849869,길복순,Korean,2/17/2023,33.985,6.9,39,0,0
12265,603692,John Wick: Chapter 4,English,3/22/2023,2569.508,8.161,635,0,0
12266,493529,Dungeons & Dragons: Honor Among Thieves,English,3/23/2023,702.523,7.598,128,0,0
12267,932430,Prom Pact,English,3/30/2023,85.403,8,10,0,0
12268,95558,,English,,64.625,8,8,1,0
12269,816904,Momias,Spain,1/5/2023,1224.45,7.008,64,0,0
12270,514999,Murder Mystery,English,5/25/2019,197.421,6.252,3642,0,0
12271,1049638,Rye Lane,English,3/17/2023,30.374,7.778,18,0,0
12272,739405,Operation Fortune: Ruse de Guerre,English,1/4/2023,184.229,6.721,297,0,0
12273,158876,,Chinese,,58.304,8.4,9,1,0
12274,921355,Assassin,English,3/31/2023,80.805,4.8,11,0,0
12275,117465,,Japanese,,62.392,10,4,1,0
12276,933419,Champions,English,3/9/2023,104.315,6.512,43,0,0
12277,208891,,Japanese,,59.825,8.667,3,1,0
12278,878375,On a Wing and a Prayer,English,4/6/2023,53.714,8,4,0,0
12279,82856,,English,,1108.646,8.488,8697,1,0
12280,638974,Murder Mystery 2,English,3/26/2023,235.901,6.8,187,0,0
12281,677179,Creed III,English,3/1/2023,1537.879,7.2,561,0,0
12282,726759,Tetris,English,3/15/2023,66.661,7.7,100,0,0
12283,76600,Avatar: The Way of Water,English,12/14/2022,10224.28,7.742,6335,0,0
12284,849869,길복순,Korean,2/17/2023,33.985,6.9,39,0,0
12285,603692,John Wick: Chapter 4,English,3/22/2023,2569.508,8.161,635,0,0
12286,493529,Dungeons & Dragons: Honor Among Thieves,English,3/23/2023,702.523,7.598,128,0,0
12287,932430,Prom Pact,English,3/30/2023,85.403,8,10,0,0
12288,95558,,English,,64.625,8,8,1,0
12289,816904,Momias,Spain,1/5/2023,1224.45,7.008,64,0,0
12290,514999,Murder Mystery,English,5/25/2019,197.421,6.252,3642,0,0
12291,1049638,Rye Lane,English,3/17/2023,30.374,7.778,18,0,0
12292,739405,Operation Fortune: Ruse de Guerre,English,1/4/2023,184.229,6.721,297,0,0
12293,158876,,Chinese,,58.304,8.4,9,1,0
12294,921355,Assassin,English,3/31/2023,80.805,4.8,11,0,0
12295,117465,,Japanese,,62.392,10,4,1,0
12296,933419,Champions,English,3/9/2023,104.315,6.512,43,0,0
12297,208891,,Japanese,,59.825,8.667,3,1,0
12298,878375,On a Wing and a Prayer,English,4/6/2023,53.714,8,4,0,0
12299,82856,,English,,1108.646,8.488,8697,1,0
12300,638974,Murder Mystery 2,English,3/26/2023,235.901,6.8,187,0,0
12301,677179,Creed III,English,3/1/2023,1537.879,7.2,561,0,0
12302,726759,Tetris,English,3/15/2023,66.661,7.7,100,0,0
12303,76600,Avatar: The Way of Water,English,12/14/2022,10224.28,7.742,6335,0,0
12304,849869,길복순,Korean,2/17/2023,33.985,6.9,39,0,0
12305,603692,John Wick: Chapter 4,English,3/22/2023,2569.508,8.161,635,0,0
12306,493529,Dungeons & Dragons: Honor Among Thieves,English,3/23/2023,702.523,7.598,128,0,0
12307,932430,Prom Pact,English,3/30/2023,85.403,8,10,0,0
12308,95558,,English,,64.625,8,8,1,0
12309,816904,Momias,Spain,1/5/2023,1224.45,7.008,64,0,0
