ttnamettker,Subscribers count,Views avg.,Likes avg,Comments avg.,Shares avg
sinadeinert|sinadeinert,5500000,967700,207500,4600,1200
austinandlexi|⚡️Austin & Lexi 💥,3200000,1300000,253300,1500,2000
jayrscottyy|Jordan Scott,2300000,900600,173100,3700,3700
manja_faiez|Manja,593100,1500000,128000,2200,3800
moontellthat|MOONTELLTHAT,13100000,2300000,156900,1700,1600
baraa.bolat|@baraabolat,1600000,2300000,143900,2500,959
yurika_aruno|Danone💕,2800000,1300000,209900,2900,1300
360tv|ARISHA ROSS,9900000,2000000,162000,3000,461
its.__yara|its._yara,749500,1100000,65400,7300,8600
ava_love33|Ava Love,2700000,1500000,299500,2100,471
mohaimen.alaa|مهيمن علاء,2900000,1200000,190400,3500,1500
officialsalicerose|Salice Rose,18600000,1100000,201300,1800,3400
hisoyvaleria|➖V A L E R I A ➖,6200000,2700000,354700,803,380
saaihalilintar|SAAIH HALILINTAR,4300000,3000000,272400,893,492
pierson|Pierson,12500000,2000000,287000,1700,306
mursid241|Mursid,2200000,2400000,179100,2300,416
stayc_official|STAYC,1300000,1600000,181100,2900,1000
liamsilk|Liam Silk,6900000,890600,249600,2600,2500
deangerald|𝕯𝖊𝖆𝖓,382000,1300000,193900,607,3800
polya_tuti|Поля тут🔥👇,2300000,3100000,250600,711,730
trevorwallace|trevor wallace,7300000,1500000,208700,759,2800
jarvali|Jarvis,2200000,1200000,251700,2100,1600
gertieinar|Gerti & Megi,2500000,4000000,162300,904,835
_angelomarasigan|Angelo,484000,1400000,206700,2100,1800
lupinelakes|Lupine,81400,1900000,376200,781,811
jauncydev|jonny devaney,1500000,1100000,172000,1300,4600
ivoryowl|Makayla,1100000,1400000,238000,1800,1500
joshrichards|Josh Richards,25600000,2200000,297800,991,691
haga7_dayo|HAGA SEVEN/ No War🕊,1700000,2800000,120900,914,2300
itsmenicksmithy2|Nick Smithyman 😎,9800000,1600000,217000,1900,1400
so_andreyy|So_Andrey,541100,2200000,111800,537,4000
la.maraaa|LA MARA,6100000,959700,213900,5100,277
paulorgds|paulo🌻,375900,1400000,224900,1300,2200
murphslife|Aaron Murphy,4700000,1500000,173400,1400,2800
okthatscreepy|OkThat’sCreepy,366800,3100000,144300,1200,1300
dylanpage.ning|Dylan Page,2500000,1200000,196900,2800,1900
fabiola.baglieri|𝐹𝑎𝑏𝑖𝑜𝑙𝑎,11600000,2400000,288700,1300,294
tnt_500|ทาจิมานะ เรียว,24100,1700000,236500,1200,1600
rawanfahmii|rawan,3400000,1800000,189700,1700,1500
bigcheese8581|Matt “Big Cheese”,7600,1300000,187300,581,4000
demin02_|Никита,1000000,1400000,223400,1900,1600
charlyokei|Charlyy,3700000,2400000,300100,914,583
pollyjaewebster|Polly-Jae,158400,1600000,188800,2200,1400
leventgeiger|Levent Geiger,3100000,1200000,165500,2600,2900
floofnoodles|Floofnoodles,17000000,1300000,154000,1800,3800
stwartabdala|•  R A T O N C I T O 🧀🐁,538800,932600,79200,905,13600
com.yuta0305|【コムドット】ゆうた,1000000,949100,179700,4300,2000
kxmzzzy|kxmz,370100,2000000,218300,999,1400
faulox_|faulox,6800000,1700000,172400,2700,1000
yourrkayesss|kayess,4800000,1100000,169000,3200,2800
oliviaalpert|Olivia Alpert,52700,2600000,139100,1900,996
brodywellmaker|Brody Wellmaker,20300000,1800000,229800,1300,1300
ranierao|rani,18100,929900,251600,2600,1900
antrobo10|Anthony,545000,850400,128100,2300,7200
therealmaneskin|Måneskin,5400000,1100000,214000,2900,1500
gustavomeloof|Gustavo Melo,4600000,1200000,86800,1300,8600
samsamne0|Sam Samm,709400,2100000,187700,1800,893
bassant33|🔥bassantOfficial🔥,4500000,2700000,162200,1600,793
aichangemoy_|YT : AiChan TV,6600000,1700000,191200,2500,680
jaytorresss|Jay Torres,3800000,1800000,242700,844,1600
xvusex|T,21100,951600,199100,1300,4100
sibenitoo|SiBenitoo,4700000,2200000,140000,1700,1700
jumpersjump|Jumpers Jump Podcast,6400000,2100000,220100,1700,486
williesalim|WILLIE SALIM,8300000,1900000,148200,2900,713
itsari.aleise|Arianna Hailey,11800000,1700000,322800,1600,359
arilbjn|Mochamad,51300,1300000,221900,955,2700
camxnie|Cam & Nie,3200000,1400000,173900,544,3700
cristobalsoria|Cristóbal Soria,572000,1200000,120200,4400,2700
japeth023|japeth023,557900,1500000,194200,1600,1900
venao2323|YANFRY EL TIERNO🙈,4200000,1500000,166600,1000,3000
kuki_yt|Kuki_youtube,1800000,1500000,315700,1300,774
ozikoy|KOY,6900000,2200000,186400,1200,1300
swaghoe666|Tik Toker,1400000,2100000,306500,1100,501
robsonabreu|Robson Abreu,3200000,1400000,82000,8300,470
juliagisella|Julia Gisella,10200000,784400,186900,3100,3700
andreslleal|Andrés Leal,2800000,1700000,91600,3700,2900
gabryellurlan|Gabryell Urlan,6800000,1400000,221900,1200,2100
kagramanana|kagramana,6200000,1200000,184100,1000,3500
yizaroff|YIZARO,4000000,1400000,225100,2600,611
adamw|Adam W,15700000,1800000,179500,1100,1900
xoteam|XO Team,32100000,2100000,222900,1600,481
saydenseay|Sayden,3300000,938900,257300,1600,2500
justthenobodys|JustTheNobodys,7100000,1400000,175800,2200,1800
snerixx|Sam Erix,8000000,1900000,369200,1000,361
valenrewah|Valent,7500000,2400000,272600,929,605
cheekyboyos|the cheeky boyos,10900000,1800000,252800,1300,867
cokodive|cokodive,188500,871100,172500,2800,3700
_tusya_kiskis|_Tusya_kiskis,6700000,1400000,161200,1500,2800
danaandthewolf|danaandthewolf,187300,2500000,252500,824,712
pakoyaso_|Pakoyaso,9500000,1800000,216100,1200,1400
zhenyalavrik|Переезд в Турцию 🇹🇷,364500,3200000,69400,1800,2600
teukuryantr|teukuryantr,3100000,1700000,236800,1300,1100
jamescharles|James Charles,36100000,1700000,191600,2200,752
zhenyalavrik|Переезд в Турцию 🇹🇷,364500,3200000,69400,1800,2600
teukuryantr|teukuryantr,3100000,1700000,236800,1300,1100
jamescharles|James Charles,36100000,1700000,191600,2200,752
cardncyn|Carddd,1500000,2500000,271100,791,623
mariahandbill|Mariah and Bill ღ,13900000,2700000,217800,1200,462
jamal.jamael|Karim Jamal,2600000,1400000,203400,2400,991
nastasyashinee|🇮🇩 BAGUS ISTRI 🇮🇩,4900000,2500000,154500,1600,880
riska_nurwidia|Riska Nur Widia,2600000,2500000,276800,623,755
ermo1enko|🖤ТВОЯ ВЕЧЕРИНКА🖤,1700000,1700000,326300,870,849
mackenzieziegler|Mackenzie Ziegler,22100000,2100000,325500,1000,380
yarenalaca|Yaren Alaca,5400000,1600000,119200,4600,513
gabrielvalland|Gabriel Valland,958200,1100000,257900,1700,1700
judiitharias|Judith & Ángel 🙋🏻‍♀️🙋🏽‍♂️,15700000,3100000,302000,763,249
adamrayokay|ADAMRAY,6800000,1900000,217600,1700,629
ethob0t|Ethobot,534200,2400000,203100,1300,668
soylapizito|lapizito,13300000,2100000,277200,1200,442
fadeewa_makeup|Фадеева🦞,760200,1300000,113200,1700,4600
rosssmith|Ross Smith,21800000,1400000,263300,814,1700
bentleybuilds|Bentley Bastian,72000,3100000,77600,826,3100
edwinmendozza|𝖊𝖉𝖜𝖎𝖓,14200000,1800000,393600,1000,349
cocielo|Júlio Cocielo,4300000,1300000,204600,1500,2000
riqqo_|Riqqo_,66000,2900000,170300,1500,361
lgndfrvr|LGNDFRVR,15800000,1900000,241300,670,1300
jajad5|jajad5,630800,982400,263800,2100,1500
cocinaconcoqui|cocinaconcoqui,2000000,1400000,278300,628,1700
rucenuenda1|Ruce Nuenda,1100000,1600000,280900,1500,589
thaotaotau|Phương Thảo,5100000,2500000,267900,1200,237
brycehall|Bryce Hall,21300000,2400000,283200,901,476
just_dt|Dt,8900000,1100000,198600,1800,2500
seleterr|seleterr,27100,1500000,180500,807,2500
teamsport_philipp|Teamsport_Philipp,23200,957200,140400,2100,4600
arananadam38|Okan Taşdemir,175100,2000000,60000,967,6600
mngnzls|MONA,13000000,2600000,191100,1500,310
niico_pr|миша,1100000,1400000,197700,1900,1300
keemokazi|KEEMOKAZI,26000000,2100000,256000,1400,293
vivi|Vivi,10300000,1700000,224700,2000,412
german_crusader|Stardust Crusader,99000,902500,149000,1600,5100
whitehernandez|Blanca Hernández,112600,1400000,229700,1400,1400
shyazryne|aEiOu,86200,2900000,316000,595,373
rozhkova.olesya|Roozhkova,850000,1500000,197200,964,2100
mosqvin_|Та самая училка❤️🔥,2600000,1900000,348500,714,637
sepultacion|mari,6400000,1300000,301400,1900,404
kaansanity|aakaanksh,4900000,1100000,86400,569,8800
dizzlipin|diZzLipin,909600,1900000,79900,5500,356
aldomirandar|😂 Aldo Miranda 😂,8400000,1300000,212700,605,2700
nicolebernaal|nicolebernaal,4000000,2200000,351300,957,195
bellaretamosa|bella,5100000,2500000,340400,901,145
tunico80|🌠Antonio Tonon🌠,5800000,1000000,206800,2000,2100
armon.warren|Armoney,1200000,1900000,300800,904,630
soanhvadiephihi|Soanh x Diệp 💎,1600000,2600000,273200,720,530
