ttnamettker,Subscribers count,Views avg.,Likes avg,Comments avg.,Shares avg
m.wardy_14|وردى,67600,1900000,465500,3800,24800
ynchq|ЯN,3700000,3900000,645100,4100,5800
nilered|NileRed,8700000,4000000,725800,5400,3200
besttoks|besttoks,2200000,17400000,451600,1100,2100
miketoks|Miketoks,11600000,6200000,599700,2500,4000
tiktokmena|TikTok MENA,5700000,39500000,179200,1200,2200
eyavanana|Eya,10800000,4600000,725300,5000,2100
john.leitao|John Leitão,2700000,4300000,380900,7800,6400
brunodiferente2022|Bruno Diferente,4000000,6600000,116700,6000,22400
sugarcoatedsisters|Tabby and Chloe,320300,3200000,523800,2600,10500
hesfinatia|PINAT🍅|| IG: @hesfinatia,8300000,8600000,936900,1800,837
vadik_dikiy|vadik_dikiy,914800,3200000,489100,2000,11800
championsleague|Champions League,11600000,3600000,628300,4200,5100
esnyrrr|Esnyr Ranollo,4400000,3500000,645300,4500,4800
savanahmosss|Savanah Moss,9300000,4500000,703000,4100,2500
dindahw14|Dinda Hauw,3000000,7900000,689200,2000,1800
joshiiwuhhh|Joshua Alden,3200000,2900000,555500,3700,8800
j3ipy_|Jeipy,7800000,4300000,760700,3300,2800
morganpresleyxo|Morgan Presley,5300000,4800000,638500,3100,3500
skaijackson|Skai Jackson 🥰,19700000,5200000,824000,3100,1500
ssmaaaryy|Razi Monroe,6800000,6400000,586300,2800,2400
vhackerr|Vinnie,13900000,2900000,593700,7800,3600
tranvantre992|Trần Tre Vlogs 🐉,759300,9100000,472900,3700,799
jwaltonnn|ᴊ⚡️,733400,1700000,369400,28000,2500
kubenjoy|KUBenjoy,3500000,4200000,476300,5000,4500
jdiasss_|João Dias,7000000,3500000,817000,4500,2000
evcnoble|Everett Noble,9800000,3400000,844500,3200,3400
victormelo|Victor Melo,19400000,4600000,642200,3800,2400
emilen_im|Эмильен,4000000,5300000,663100,4000,1200
ehlija|Eh Lija,3300000,4000000,506000,4700,4300
thoriqhal|thariqhalilintar,3800000,5800000,662000,2400,2200
afgsuga|Afg Suga Official,161700,3300000,490300,4100,6800
jen_wolff|jenny,187600,2900000,371600,5700,10500
tubbynugget|Tubby Nugget,3500000,2600000,518200,2100,10800
rescuerestore|Rescue & Restore,1500000,9200000,430000,1500,2900
baddest4bitches|Edda,1500000,2500000,580200,8500,3400
_itsstefano_|It'sStefano,4400000,4600000,553800,5800,856
guryan_off|Гурьянов Максим,2600000,3300000,479500,3100,7700
thebenjishow|benji,5500000,3400000,549600,3800,5200
mikaelatesta|Mikaela Testa,1700000,4300000,960300,3300,749
grillervm|GrillerVM,2900000,4300000,549300,2900,4000
riaricis|Ria Ricis,25500000,5500000,665100,2200,2100
lizzza|Liza Koshy,29400000,5200000,1200000,1900,616
elmarianaa|ElMariana,6500000,3800000,834800,1600,3300
somi_official_|JEON SOMI,6100000,3000000,746300,4600,2300
craggygames|Craggy Games,306800,7000000,189300,726,10900
gritside|gritside,3600000,3500000,446400,1500,8300
charlieputh|Charlie Puth,16100000,3500000,509100,5800,2600
spencer_serafica|Xspencer,12300000,4000000,663200,4100,1600
mikaylahau|Mikaylah,4200000,3000000,386400,9900,3200
kevinprieto077|kevinprieto077,1800000,3800000,589300,3400,3100
christianfabiannn|Christian Fabián D.,12000000,4800000,733200,3700,398
brotherofcolor|Heyimparis,12700000,5000000,609500,3600,1100
gavrilinaa|Юлька Шпулька🕷🕸,16300000,3900000,522200,4000,3000
phun.anh|Phùn Anh,2700000,6800000,374200,3800,1700
tooturnttony|Tooturnttony,15600000,5400000,464600,2800,2800
baimwong|Baim Wong,7500000,5100000,392400,3700,3300
maxtaylorlifts|Max Taylor,7600000,3000000,529000,4400,4500
kimberly11sofia|✨Kimberly11sofia✨,576600,1900000,208000,27000,7800
lourdasprec|LOURD,8700000,2400000,592100,5300,4300
katiavlogss|KATIAVLOGS🐒,13800000,4600000,638200,3500,1100
itslennnie|lennnie,1900000,1900000,319200,2400,20000
couragejd|Jack CouRage Dunlop,3100000,3400000,391500,2900,7100
karimmahmoudabdelaziz|Karim Mahmoud Abdel Aziz,3400000,5300000,375600,2500,4100
jbdjebb|Jean-Baptiste Djebbari,1100000,2900000,448600,6200,3800
dailymug69|It’s a sad story...,4200000,4100000,544200,5600,251
superfirsthero|СУПЕРПЕРВЫЙГЕРОЙ,1600000,2800000,526100,4400,4500
cookingwithlynja|Lynja,9900000,5200000,649000,2500,1400
gordonramsayofficial|Gordon Ramsay,31700000,5700000,557200,3200,835
nabela|nabela,7200000,5400000,627100,2600,1200
alexwaarren|Alex warren,15200000,4600000,769000,1300,2300
ayesebastien|Sebastien,7200000,3100000,565300,2800,4600
jamie32bsh|Jamie Big Sorrel Hor,7100000,5800000,313600,4700,2200
maxthemeatguy|Max The Meat Guy,3800000,6200000,681900,1700,1200
andy.and.michelle|Andy & Michelle,3700000,3100000,438100,2800,6100
realmsp|RealMsP,349100,4900000,771900,2000,1100
gameofthrones|Game of Thrones,647300,3000000,359500,1900,9000
ameliadimz|ameliadimz,1300000,3700000,529800,4100,1800
chris|Chris Olsen,7200000,6100000,712100,1600,1100
isaach.p|Isaac H.P,1600000,2400000,230000,11000,9700
billlnai|nai,8400000,3100000,797100,3200,1400
samseats|Sam Way,8700000,3600000,618500,2800,2200
soysuco_ff|Suco Ismael,3700000,3400000,430500,6600,981
gaynadia|nadia,287900,2200000,583800,4400,4100
thatlittlepuff|ThatLittlePuff,25000000,5100000,612900,1400,2100
lachama4_ff|LA CHAMA ᴰ,8300000,2900000,477000,7300,693
envydo|envy,198700,1800000,476100,9200,3300
k1lauea|killazz,128200,1800000,451400,9100,3700
noreportar08|noreportar08,265300,4000000,104900,11100,12900
elrodcontreras|ROD🥴,40100000,3300000,521000,4800,1000
k1lauea|killazz,128200,1800000,451400,9100,3700
noreportar08|noreportar08,265300,4000000,104900,11100,12900
elrodcontreras|ROD🥴,40100000,3300000,521000,4800,1000
kpp2179393999|きゃりーぱみゅぱみゅの裏垢,834900,6500000,345500,1300,3200
elgato|Rodrigo EL GATO,3200000,3300000,454000,4000,2700
carolfermichh|CarolFerMichh,6200000,4300000,664800,2400,1100
montpantoja|Montpantoja,32300000,3500000,652500,3200,1200
mmmjoemele|Joe Mele,21000000,4300000,608400,2200,1500
1xgoku|goku,74800,1900000,345600,2500,12200
anthonnyswagg3|anthonnyswagg,8500000,8100000,469600,1700,797
bjjojo_|j🐞j🦋fan,61600,2000000,354500,6200,7300
uberkuloz|Berk Keklik,1000000,5200000,394700,2100,2500
nilskue|Nils Kuesel,9500000,2600000,515400,5200,1800
mcsilsiloficial|@mcsilsiloficial,5800000,2600000,201700,4700,13700
labrinth|Labrinth,924900,4200000,416900,3400,1900
oilywhitehat|🔌,197300,5500000,373500,3100,1400
jacksepticeye|Jacksepticeye,4200000,2900000,512700,4300,1900
marisol.viola|marisol viola,1100000,2600000,504800,4100,3100
strangehumano|strangehumman NOVA,7800000,3200000,386300,4500,3000
playboyjuju|🕷,259400,3300000,291200,5500,4200
itsjessibaby|Jessi,5000000,3100000,738500,3200,835
bbykevv_|Kevin Nguyen,1600000,3200000,633100,2100,2400
nykolasteles|Nykolas Teles,3800000,2700000,368800,5800,3400
morimura|MoriMura🍕,6400000,2200000,483000,4400,4100
danisoomin|daniela kim,8400000,3400000,492700,4100,1200
tenderlybaemusic|tenderlybae,14400000,3600000,409500,4600,1500
ig_alongwiranda|🕌🏃,880700,3200000,129400,1200,20000
crisdevilgamer7|CrisDevilGamer,4500000,3500000,388100,5200,1200
meishmoe|meishmoe,3900000,2500000,534500,2400,4100
maylathanzin|Maylathanzin,1900000,3500000,417600,1200,4700
zuuzina|👽,1200000,2700000,342400,4200,5100
jennifergarner|Jen Garner,2100000,3400000,315000,5600,2400
seventeen17_official|SEVENTEEN,3900000,1500000,375900,11100,4100
meosimmyyt|Mèo Simmy,3900000,2700000,367100,7100,1500
mariabecerra_22|Maria Becerra,6100000,3200000,553900,3600,1200
frostech|FROSTECH,321000,3400000,411000,1500,4600
p0_2|مشاري بن عبدالعزيز  -,1700000,4900000,233700,6000,1500
joelbergs|JoelBergs,11200000,3400000,636300,1700,2200
euro2024|EURO2024,6800000,2500000,407300,2900,5400
daz_black|daz_black,7000000,2300000,506400,4300,2900
claragnds|Maria Clara Garcia,16000000,2800000,401500,5200,2100
desartdestro|desartdestro,7800000,5400000,368300,2000,2100
camilacabello|Camila Cabello,15300000,5200000,321800,2800,2000
berkcoskunofficial|Berk Coşkun,3500000,5600000,194200,2900,4500
ser.geybin|Ser Geybin,1700000,3800000,383500,2200,3300
anthpo|Anthony Po,688300,1700000,414200,4700,6900
erikarichardo|erika,7900000,4600000,578700,2500,472
thegnshow|The Graham Norton Show,1200000,4900000,491000,807,2500
cx_.q|مصطفى البصراوي 62,2100000,3900000,234700,3100,5400
owen.han|MANGIAMOH,1500000,4800000,376200,1200,3100
