S.no,Tiktoker name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.
329,louvoresgospelbr,1900000,221300,1100,6900,1900000
330,rucenuenda1,3300000,490600,1500,554,3300000
331,nourmar5,1800000,136900,4800,8800,1800000
332,bebopandbebe,3300000,127200,7600,354,3300000
333,daniimolalaa,2400000,586500,998,1300,2400000
334,jaimeonod,2000000,296100,3800,1800,2000000
335,starirawan,1800000,177300,8600,1800,1800000
336,patriotickenny,2100000,292900,2000,3300,2100000
337,xxlechuga,2200000,476100,1200,1900,2200000
338,manhtienkhoi_,3000000,276400,2600,1300,3000000
339,itsjojosiwa,4200000,422000,1400,399,4200000
340,ajkhiphop,4600000,670600,686,355,4600000
341,ustazebitlew,1900000,156300,6300,4400,1900000
342,cedricgrolet,3300000,251800,1100,2700,3300000
343,danythegaggio,2000000,217200,2300,5200,2000000
344,dylanpage.ning,1600000,239400,5400,3000,1600000
345,mastermind_ph,2600000,273000,2100,2300,2600000
346,maluborgesm,1900000,280400,4800,1000,1900000
347,vito.video,2200000,340000,2000,2200,2200000
348,frnzlynfby,1900000,361000,2600,2000,1900000
349,carolvillanes,2000000,294700,4800,467,2000000
350,mariabecerra_22,2700000,388300,2200,712,2700000
351,onerepublic,2800000,323000,955,2500,2800000
352,ngikuttrendaja,3700000,304500,1500,1200,3700000
353,flickerspark_,2100000,516800,1400,1500,2100000
354,cvsthetico,2300000,313100,2500,1800,2300000
355,yahia_x,4000000,189900,1000,3100,4000000
356,jennialarcon_,2000000,348400,2500,1900,2000000
357,airiiqtieeee,1800000,321300,2700,2600,1800000
358,officialsunnydaze,3100000,495300,844,1200,3100000
359,los_chicaneros,1900000,218200,1200,6100,1900000
360,videoschapin,2900000,78800,2700,10600,2900000
361,wuesilva,4100000,283400,1200,1400,4100000
362,ladygaga,1900000,247500,4400,2000,1900000
363,cx_.q,3100000,254000,2300,1500,3100000
364,mitsy270,1900000,338300,2700,2100,1900000
365,ayesebastien,2000000,396500,2100,1800,2000000
366,karljacobs,1900000,486500,2600,563,1900000
367,liltjay,1900000,291900,3900,1400,1900000
368,irenehsuu,1400000,401700,1300,3900,1400000
369,doctormiguelpadilla,2100000,321700,1700,2600,2100000
370,jacobday,1800000,296600,4400,1000,1800000
371,louflores_,2200000,237100,842,4700,2200000
372,pakoyaso_,3200000,282600,1200,2000,3200000
373,ella.tchella,1600000,381600,1500,3400,1600000
374,nashvibes,4400000,365500,1300,493,4400000
375,jamesdroz566,1900000,155400,2200,7400,1900000
376,egyptianbeaman,2200000,80500,1700,14200,2200000
377,mattiastanga,1500000,213400,1400,7400,1500000
378,gorillaz,1800000,340900,2800,1700,1800000
379,lonely.moods,815500,214000,5400,10600,815500
380,rayanfahmi,2900000,235900,2800,1200,2900000
381,melmaia,3500000,473900,988,662,3500000
382,vietduongg_,1200000,129700,12700,4800,1200000
383,leen_mohd98,2900000,190100,2700,2300,2900000
384,jubiandxian,2500000,396200,1800,934,2500000
385,adrianbliss,2300000,413300,1100,1700,2300000
386,dxddy._.desi,1900000,250800,4900,764,1900000
387,frankielapenna,2700000,295200,1400,2000,2700000
388,xxxten1369,2800000,335100,1000,1800,2800000
389,softbulletgun97,2300000,188300,2200,4100,2300000
390,katiessigmond,2900000,340000,1100,1600,2900000
391,nnatalieaguilar,3400000,558800,568,825,3400000
392,elchimbatv,3000000,285200,773,2400,3000000
